Property,Field,Mown,Year,Date,Time ,Surveyor,Point,<50_Males,<50_Females,<50_Total,>50_Male,>50_Females,>50_Total,Total_Counts ,Notes
Appleton Farms,Sunset Hill,N,2024,5/2/2024,7:20,Jane Woodman,3A,0,0,0,0,0,0,0,
Appleton Farms,Sunset Meadow,N,2024,5/2/2024,7:15,Jane Woodman,3A,0,0,0,0,0,0,0,
Appleton Farms,Sunset Hill,N,2024,5/2/2024,7:25,Jane Woodman,3B,0,0,0,0,0,0,0,
Appleton Farms,Sunset Meadow,N,2024,5/2/2024,7:30,Jane Woodman,3B,0,0,0,0,0,0,0,
Appleton Farms,Horse Field Upper,N,2024,5/2/2024,8:25,Jane Woodman,3C,0,0,0,0,0,0,0,
Appleton Farms,Horse Field South,N,2024,5/2/2024,8:15,Jane Woodman,3D,0,0,0,0,0,0,0,
Appleton Farms,Williams West,N,2024,5/2/2024,7:45,Jane Woodman,3E,0,0,0,0,0,0,0,
Appleton Farms,Williams West,N,2024,5/2/2024,7:55,Jane Woodman,3F,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,N,2024,5/3/2024,7:33,Peter Ward,2A,0,0,0,0,0,0,0,
Appleton Farms,Drainage,N,2024,5/3/2024,7:48,Peter Ward,2B,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2024,5/3/2024,7:54,Peter Ward,2C,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2024,5/3/2024,8:10,Peter Ward,2D,0,0,0,0,0,0,0,
Appleton Farms,Broad Meadow,N,2024,5/3/2024,8:19,Peter Ward,2E,0,0,0,0,0,0,0,
Appleton Farms,Steer Barn,N,2024,5/3/2024,8:25,Peter Ward,2E,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2024,5/5/2024,6:32,Sharon Stavropoulos,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2024,5/5/2024,6:41,Sharon Stavropoulos,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2024,5/5/2024,6:50,Sharon Stavropoulos,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2024,5/5/2024,6:58,Sharon Stavropoulos,1C,0,0,0,0,0,0,0,
Appleton Farms,Lamson South,N,2024,5/5/2024,7:08,Sharon Stavropoulos,1D,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2024,5/5/2024,7:23,Sharon Stavropoulos,1E,0,0,0,0,0,0,0,
Appleton Farms,GP8,N,2024,5/5/2024,7:32,Sharon Stavropoulos,1F,0,0,0,0,0,0,0,
Appleton Farms,Wilson's,N,2024,5/5/2024,6:23,Sharon Stavropoulos,2A,0,0,0,0,0,0,0,
